Symbol,Name,Sector,Industry,Last Sale
MMM,3M Company,Industrials,Conglomerates,176.28
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,60.13
ABT,,Healthcare,Medical Devices,105.7
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,250.94
ACN,Accenture plc,Technology,Information Technology Services,165.92
ADBE,Adobe Inc.,Technology,Software - Application,250.41
AMD,,Technology,Semiconductors,476.15
AES,The AES Corporation,Utilities,Utilities - Diversified,14.68
AFL,,Financial Services,Insurance - Life,127.48
A,,Healthcare,Diagnostics & Research,138.37
APD,,Basic Materials,Specialty Chemicals,294.89
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,151.52
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,115.18
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,117.64
ARE,,Real Estate,REIT - Office,51.45
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,169.16
ALLE,Allegion plc,Industrials,Security & Protection Services,157.4
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,70.78
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,264.08
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,356.13
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,356.65
MO,,Consumer Defensive,Tobacco,68.33
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,271.58
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,44.88
AEE,,Utilities,Utilities - Regulated Electric,109.61
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,127.85
AXP,American Express Company,Financial Services,Credit Services,336.25
AIG,,Financial Services,Insurance - Diversified,78.58
AMT,American Tower Corporation,Real Estate,REIT - Specialty,173.36
K,,,,
AMP,,Financial Services,Asset Management,545.84
ABC,,,,
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,241.71
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,385.16
APH,,Technology,Electronic Components,160.7
ADI,,Technology,Semiconductors,367.41
ANSS,,,,
AON,Aon plc,Financial Services,Insurance Brokers,360.55
APA,,Energy,Oil & Gas E&P,37.32
AAPL,Apple Inc.,Technology,Consumer Electronics,308.91
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,507.67
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,56.47
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,100.53
ADM,,Consumer Defensive,Farm Products,79.27
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,180.35
AJG,,Financial Services,Insurance Brokers,249.42
AIZ,,Financial Services,Insurance - Property & Casualty,279.19
T,AT&T Inc.,Communication Services,Telecom Services,23.25
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,172.78
ADSK,"Autodesk, Inc.",Technology,Software - Application,234.2
AZO,,Consumer Cyclical,Auto Parts,3016.25
AVB,,Real Estate,REIT - Residential,185.61
AVY,,Consumer Cyclical,Packaging & Containers,169.73
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,527.76
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,60.49
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,64.9
BAC,,Financial Services,Banks - Diversified,61.95
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail,20.12
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,26.16
BDX,,Healthcare,Medical Instruments & Supplies,165.62
BRK.B,,,,
BBY,,Consumer Cyclical,Specialty Retail,86.26
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,325.48
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,72.09
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,202.95
BLK,,Financial Services,Asset Management,1090.39
BX,Blackstone Inc.,Financial Services,Asset Management,127.75
BK,,,,
BA,The Boeing Company,Industrials,Aerospace & Defense,216.14
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,192.9
BWA,,Consumer Cyclical,Auto Parts,63.74
BXP,"BXP, Inc.",Real Estate,REIT - Office,70.12
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,46.73
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,65.31
AVGO,Broadcom Inc.,Technology,Semiconductors,389.28
BR,,Technology,Information Technology Services,153.95
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,70.4
BF.B,,,,
BG,,Consumer Defensive,Farm Products,106.23
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,147.73
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,340.02
CZR,,Consumer Cyclical,Resorts & Casinos,29.75
CPT,,Real Estate,REIT - Residential,110.81
CPB,,Consumer Defensive,Packaged Foods,21.98
COF,Capital One Financial Corporation,Financial Services,Credit Services,209.01
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,230.03
KMX,,Consumer Cyclical,Auto & Truck Dealerships,57.26
CCL,Carnival Corporation Ltd.,Consumer Cyclical,Travel Services,27.81
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,61.81
CTLT,,,,
CAT,,Industrials,Farm & Heavy Construction Machinery,814.81
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,310.23
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,146.81
CDW,,Technology,Information Technology Services,147.81
CE,Celanese Corporation,Basic Materials,Chemicals,44.72
COR,"Cencora, Inc.",Healthcare,Medical Distribution,311.34
CNC,Centene Corporation,Healthcare,Healthcare Plans,62.22
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,42.04
CDAY,,,,
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,125.19
CRL,,Healthcare,Diagnostics & Research,232.51
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,105.24
CHD,,Consumer Defensive,Household & Personal Products,98.81
CI,The Cigna Group,Healthcare,Healthcare Plans,279.05
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,177.68
CTAS,Cintas Corporation,Industrials,Specialty Business Services,204.63
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,115.99
C,Citigroup Inc.,Financial Services,Banks - Diversified,132.45
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,71.65
CLX,,Consumer Defensive,Household & Personal Products,95.53
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,267.79
CMS,,Utilities,Utilities - Regulated Electric,71.99
KO,,Consumer Defensive,Beverages - Non-Alcoholic,87.59
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,55.35
CL,,Consumer Defensive,Household & Personal Products,91.3
CMCSA,Comcast Corporation,Communication Services,Telecom Services,23.96
CMA,,,,
CAG,,Consumer Defensive,Packaged Foods,14.51
COP,ConocoPhillips,Energy,Oil & Gas E&P,120.48
ED,,Utilities,Utilities - Regulated Electric,108.85
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,130.23
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,262.75
COO,,Healthcare,Medical Instruments & Supplies,72.32
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,29.12
GLW,,Technology,Electronic Components,138.25
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,78.71
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,28.76
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,951.89
CTRA,,,,
CCI,,Real Estate,REIT - Specialty,76.3
CSX,CSX Corporation,Industrials,Railroads,50.4
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,634.2
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,104.43
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,194.98
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,203.58
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,240.09
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,592.67
DAL,,Industrials,Airlines,87.44
XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,13.37
DVN,,Energy,Oil & Gas E&P,45.13
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,83.45
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,202.95
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,188.52
DFS,,,,
DIS,,Communication Services,Entertainment,96.19
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,127.05
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,127.21
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,69.17
DPZ,,Consumer Cyclical,Restaurants,347.44
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,204.62
DOW,Dow Inc.,Basic Materials,Chemicals,30.29
DTE,,Utilities,Utilities - Regulated Electric,141.87
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,125.43
DD,,Basic Materials,Specialty Chemicals,137.0
EMN,,Basic Materials,Specialty Chemicals,69.95
ETN,,Industrials,Specialty Industrial Machinery,415.2
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,114.01
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,277.63
EIX,,Utilities,Utilities - Regulated Electric,73.37
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,86.07
EA,,Communication Services,Electronic Gaming & Multimedia,209.86
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,375.84
LLY,,Healthcare,Drug Manufacturers - General,1148.84
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,149.82
ENPH,"Enphase Energy, Inc.",Technology,Solar,37.54
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,107.62
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,148.69
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,105.56
EQT,,Energy,Oil & Gas E&P,53.29
EFX,Equifax Inc.,Industrials,Consulting Services,172.62
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,1019.28
EQR,,Real Estate,REIT - Residential,66.45
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,284.14
EL,,Consumer Defensive,Household & Personal Products,83.9
ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,81.68
RE,,,,
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,83.01
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,71.59
EXC,,Utilities,Utilities - Regulated Electric,45.82
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,294.74
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,167.89
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,148.04
XOM,,Energy,Oil & Gas Integrated,155.44
FFIV,"F5, Inc.",Technology,Software - Infrastructure,402.57
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,263.2
FICO,Fair Isaac Corporation,Technology,Software - Application,1122.97
FAST,Fastenal Company,Industrials,Industrial Distribution,47.71
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,124.09
FDX,,Industrials,Integrated Freight & Logistics,307.4
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,56.5
FSLR,"First Solar, Inc.",Technology,Solar,211.03
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,48.31
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,10.71
F,,Consumer Cyclical,Auto Manufacturers,14.68
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,161.95
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,59.21
FOXA,Fox Corporation,Communication Services,Entertainment,58.23
FOX,Fox Corporation,Communication Services,Entertainment,51.94
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,33.86
FCX,,Basic Materials,Copper,62.63
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,293.78
IT,"Gartner, Inc.",Technology,Information Technology Services,151.02
GE,,Industrials,Aerospace & Defense,360.07
GEHC,GE HealthCare Technologies Inc.,Healthcare,Medical Devices,68.02
GEN,,Technology,Software - Infrastructure,27.45
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,197.11
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,383.42
GIS,,Consumer Defensive,Packaged Foods,35.75
GM,,Consumer Cyclical,Auto Manufacturers,88.86
GPC,,Consumer Cyclical,Auto Parts,124.37
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,130.21
GPN,,Industrials,Specialty Business Services,84.08
GL,Globe Life Inc.,Financial Services,Insurance - Life,182.25
GS,,Financial Services,Capital Markets,1018.38
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,32.25
HIG,"The Hartford Insurance Group, Inc.",Financial Services,Insurance - Diversified,141.91
HAS,,Consumer Cyclical,Leisure,93.94
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,402.59
PEAK,,,,
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,85.75
HSY,The Hershey Company,Consumer Defensive,Confectioners,175.05
HES,,,,
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,47.9
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,320.49
HOLX,,,,
HD,,Consumer Cyclical,Home Improvement Retail,331.96
HON,,Industrials,Conglomerates,243.05
HRL,,Consumer Defensive,Packaged Foods,25.01
HST,,Real Estate,REIT - Hotel & Motel,25.13
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,282.26
HPQ,,Technology,Computer Hardware,27.27
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,472.55
HUM,,Healthcare,Healthcare Plans,363.86
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,17.04
HII,,Industrials,Aerospace & Defense,326.45
IBM,International Business Machines Corporation,Technology,Information Technology Services,223.65
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,230.45
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,559.07
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,286.95
ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,205.1
INCY,Incyte Corporation,Healthcare,Biotechnology,119.52
IR,,Industrials,Specialty Industrial Machinery,83.38
PODD,Insulet Corporation,Healthcare,Medical Devices,165.35
INTC,Intel Corporation,Technology,Semiconductors,90.2
ICE,,Financial Services,Financial Data & Stock Exchanges,152.48
IFF,,Basic Materials,Specialty Chemicals,79.22
IP,,Consumer Cyclical,Packaging & Containers,40.83
IPG,,,,
INTU,Intuit Inc.,Technology,Software - Application,316.07
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,353.33
IVZ,Invesco Ltd.,Financial Services,Asset Management,29.6
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,29.72
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,235.02
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,122.32
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,271.75
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,154.04
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,134.93
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,256.35
JCI,,Industrials,Building Products & Equipment,146.66
JPM,,Financial Services,Banks - Diversified,351.79
JNPR,,,,
K,,,,
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,19.24
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,31.12
KEY,,Financial Services,Banks - Regional,22.59
